"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
"1","Flensburg - Schleswig","1","228471","171914","170465","58320","40388","14002","22304",NA,"18955","11653","58320","34.21","23.69","8.21","13.08",NA,"11.12","6.84","34.21","CDU",0
"2","Nordfriesland - Dithmarschen Nord","1","186568","139194","138071","52928","31120","8589","15144",NA,"18050","9030","52928","38.33","22.54","6.22","10.97",NA,"13.07","6.54","38.33","CDU",0
"3","Steinburg - Dithmarschen Süd","1","176636","132017","130878","47366","29756","8732","12960",NA,"17298","11180","47366","36.19","22.74","6.67","9.9",NA,"13.22","8.54","36.19","CDU",0
"4","Rendsburg-Eckernförde","1","200831","157354","156267","56585","35766","9962","19337",NA,"19071","11578","56585","36.21","22.89","6.37","12.37",NA,"12.2","7.41","36.21","CDU",0
"5","Kiel","1","204650","153273","152069","40736","36208","15546","26143",NA,"17804","10504","40736","26.79","23.81","10.22","17.19",NA,"11.71","6.91","26.79","CDU",0
"6","Plön - Neumünster","1","174937","131713","130514","43778","31013","8503","16350",NA,"16481","11161","43778","33.54","23.76","6.52","12.53",NA,"12.63","8.55","33.54","CDU",0
"7","Pinneberg","1","238533","187715","186372","63863","42729","13111","21336",NA,"24735","15977","63863","34.27","22.93","7.03","11.45",NA,"13.27","8.57","34.27","CDU",0
"8","Segeberg - Stormarn-Mitte","1","247296","193280","191945","66367","43027","13237","21010",NA,"26043","17166","66367","34.58","22.42","6.9","10.95",NA,"13.57","8.94","34.58","CDU",0
"9","Ostholstein - Stormarn-Nord","1","181522","138439","137295","48898","33764","8303","13493",NA,"18147","11782","48898","35.62","24.59","6.05","9.83",NA,"13.22","8.58","35.62","CDU",0
"10","Herzogtum Lauenburg - Stormarn-Süd","1","244930","193334","191971","66031","42815","12480","20826",NA,"26163","18792","66031","34.4","22.3","6.5","10.85",NA,"13.63","9.79","34.4","CDU",0
"11","Lübeck","1","181638","130961","129794","38263","32919","12213","16568",NA,"14097","11539","38263","29.48","25.36","9.41","12.76",NA,"10.86","8.89","29.48","CDU",0
"12","Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I","13","216800","157071","155411","51083","28947","25929","6606",NA,"9879","25692","51083","32.87","18.63","16.68","4.25",NA,"6.36","16.53","32.87","CDU",1
"13","Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I","13","205876","146768","145111","48841","25029","24409","5521",NA,"9008","25688","48841","33.66","17.25","16.82","3.8",NA,"6.21","17.7","33.66","CDU",1
"14","Rostock - Landkreis Rostock II","13","222913","164016","162322","49433","25650","33575","10229",NA,"10661","25171","49433","30.45","15.8","20.68","6.3",NA,"6.57","15.51","30.45","CDU",1
"15","Vorpommern-Rügen - Vorpommern-Greifswald I","13","240887","169528","167412","55110","20405","30107","8498",NA,"11490","32881","55110","32.92","12.19","17.98","5.08",NA,"6.86","19.64","32.92","CDU",1
"16","Mecklenburgische Seenplatte I - Vorpommern-Greifswald II","13","226039","156965","154813","51789","19064","27246","4068",NA,"8659","35595","51789","33.45","12.31","17.6","2.63",NA,"5.59","22.99","33.45","CDU",1
"17","Mecklenburgische Seenplatte II - Landkreis Rostock III","13","212099","144239","142441","51007","20594","24102","4592",NA,"8198","27382","51007","35.81","14.46","16.92","3.22",NA,"5.76","19.22","35.81","CDU",1
"18","Hamburg-Mitte","2","243543","175731","174293","40909","41551","26109","25164",NA,"16255","13940","40909","23.47","23.84","14.98","14.44",NA,"9.33","8","23.47","SPD",0
"19","Hamburg-Altona","2","185944","146090","145226","36139","29680","22766","26036",NA,"16306","8028","36139","24.88","20.44","15.68","17.93",NA,"11.23","5.53","24.88","CDU",0
"20","Hamburg-Eimsbüttel","2","192399","156013","155203","41826","34575","19290","26372",NA,"17463","9138","41826","26.95","22.28","12.43","16.99",NA,"11.25","5.89","26.95","CDU",0
