"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
12,"Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I",13,216800,157071,155411,51083,28947,25929,6606,NA,9879,25692,51083,32.87,18.63,16.68,4.25,NA,6.36,16.53,32.87,"CDU",1
13,"Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I",13,205876,146768,145111,48841,25029,24409,5521,NA,9008,25688,48841,33.66,17.25,16.82,3.8,NA,6.21,17.7,33.66,"CDU",1
14,"Rostock - Landkreis Rostock II",13,222913,164016,162322,49433,25650,33575,10229,NA,10661,25171,49433,30.45,15.8,20.68,6.3,NA,6.57,15.51,30.45,"CDU",1
15,"Vorpommern-Rügen - Vorpommern-Greifswald I",13,240887,169528,167412,55110,20405,30107,8498,NA,11490,32881,55110,32.92,12.19,17.98,5.08,NA,6.86,19.64,32.92,"CDU",1
16,"Mecklenburgische Seenplatte I - Vorpommern-Greifswald II",13,226039,156965,154813,51789,19064,27246,4068,NA,8659,35595,51789,33.45,12.31,17.6,2.63,NA,5.59,22.99,33.45,"CDU",1
17,"Mecklenburgische Seenplatte II - Landkreis Rostock III",13,212099,144239,142441,51007,20594,24102,4592,NA,8198,27382,51007,35.81,14.46,16.92,3.22,NA,5.76,19.22,35.81,"CDU",1
56,"Prignitz - Ostprignitz-Ruppin - Havelland I",12,176002,120228,118408,35215,24884,19447,4231,NA,6555,22183,35215,29.74,21.02,16.42,3.57,NA,5.54,18.73,29.74,"CDU",1
57,"Uckermark - Barnim I",12,184716,129870,128013,36160,21650,23870,5187,NA,7021,26605,36160,28.25,16.91,18.65,4.05,NA,5.48,20.78,28.25,"CDU",1
58,"Oberhavel - Havelland II",12,243108,185012,182610,51968,33856,26091,11684,NA,13912,33987,51968,28.46,18.54,14.29,6.4,NA,7.62,18.61,28.46,"CDU",1
59,"Märkisch-Oderland - Barnim II",12,226424,170039,167696,42113,25908,34632,7800,NA,11007,34701,42113,25.11,15.45,20.65,4.65,NA,6.56,20.69,25.11,"CDU",1
