"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Schleswig-Holstein",1,"Flensburg – Schleswig",282.8,266.7,5.7,16.5,8.7,11.3,35,17.4,11.2,10,5.1,59.5,35.5,20265,28300,30.4,7.2,88.5,0
"Schleswig-Holstein",2,"Nordfriesland – Dithmarschen Nord",232.3,219.7,5.4,16.1,8,10.4,35.1,18.5,11.9,8,5.2,65,29.8,22159,30078,23.4,7.2,70.9,0
"Schleswig-Holstein",3,"Steinburg – Dithmarschen Süd",220.8,209.8,5,16.7,7.6,9.9,37,17.4,11.4,9.2,4.2,59.9,35.9,20896,29298,29,6.6,80.1,0
"Schleswig-Holstein",4,"Rendsburg-Eckernförde",248.7,239.4,3.7,17.3,7.2,9.4,37.2,17.9,11,8.5,4.9,58.3,36.8,22093,26659,30.9,5.1,59.4,0
"Schleswig-Holstein",5,"Kiel",268,242.9,9.4,14.6,10.8,17.4,32.8,14.8,9.6,18,7.3,41.8,50.9,18637,42836,43.6,8.8,138.7,0
"Schleswig-Holstein",6,"Plön – Neumünster",219.8,206.8,5.9,16.4,7.3,10.1,35.8,18.3,12.1,10.8,5.6,54.1,40.3,20395,25983,34.6,6.9,86.8,0
"Schleswig-Holstein",7,"Pinneberg",307.5,281.5,8.4,16.8,7.2,10.7,37.4,16.7,11.2,15,6.4,40.9,52.7,23766,26342,39.1,5.2,67.7,0
"Schleswig-Holstein",8,"Segeberg – Stormarn-Mitte",313.2,294.9,5.8,17.1,6.9,10.5,37.9,17,10.5,13.3,5.8,44.1,50.1,22791,29135,35.9,4.6,54.5,0
"Schleswig-Holstein",9,"Ostholstein – Stormarn-Nord",219.3,209.9,4.3,15,6.7,9.1,36.1,20,13.1,8.4,6.1,57.6,36.3,21962,23354,29.4,6.2,62.6,0
"Schleswig-Holstein",10,"Herzogtum Lauenburg – Stormarn-Süd",311.1,290.6,6.6,16.8,6.6,10.1,36.9,17.3,12.3,12.7,6.8,44.1,49,23628,24859,37.9,4.8,59.5,0
"Schleswig-Holstein",11,"Lübeck",235.3,216.5,8,15.4,8.2,13.1,34.8,16.7,11.8,16.5,8.1,49,42.9,19238,36117,33.8,8.7,127,0
"Mecklenburg-Vorpommern",12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",270.9,254.6,6,15.7,5.5,12.9,36.6,17.8,11.4,4.7,3.8,19.2,77,18008,25884,39.8,7.8,97.9,1
"Mecklenburg-Vorpommern",13,"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I",248.8,241.3,3,14.7,4.4,11.6,37.2,19.9,12.2,3.6,3.2,18.4,78.4,18081,20937,33.3,7.1,79.6,1
"Mecklenburg-Vorpommern",14,"Rostock – Landkreis Rostock II",271.6,261.2,3.8,14.3,6.6,16.2,33.6,17.5,11.9,5.5,3.1,11.5,85.4,16879,31845,43.1,8.9,111.9,1
"Mecklenburg-Vorpommern",15,"Vorpommern-Rügen – Vorpommern-Greifswald I",292.3,282.3,3.4,14.1,5.7,13.4,35.6,18.7,12.5,3.3,2.6,15.3,82,17287,20753,31.1,11.9,106.6,1
"Mecklenburg-Vorpommern",16,"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ",273.3,264,3.4,14.4,4.4,11.4,36.8,20,13.1,3.3,3.1,19,77.9,16955,21751,34.7,11.7,117.3,1
"Mecklenburg-Vorpommern",17,"Mecklenburgische Seenplatte II – Landkreis Rostock III",255.6,249.6,2.3,14.8,4.2,11,37.8,19.1,13,2.6,4,20,76.1,17802,22923,33.6,10.2,106.2,1
"Hamburg",18,"Hamburg-Mitte",350.1,278.4,20.5,16.2,7.9,16.5,35.8,14.1,9.6,28.3,10.8,24.3,64.9,23596,59958,55.1,7.1,106.9,0
"Hamburg",19,"Hamburg-Altona",260.3,222.8,14.4,16.2,7.9,16.5,35.8,14.1,9.6,28.3,9.1,32,58.9,23596,59958,55.1,7.1,106.9,0
"Hamburg",20,"Hamburg-Eimsbüttel",252.9,223.2,11.7,16.2,7.9,16.5,35.8,14.1,9.6,28.3,9.2,30.4,60.4,23596,59958,55.1,7.1,106.9,0
"Hamburg",21,"Hamburg-Nord",279.8,252.9,9.6,16.2,7.9,16.5,35.8,14.1,9.6,28.3,8.7,32.8,58.5,23596,59958,55.1,7.1,106.9,0
"Hamburg",22,"Hamburg-Wandsbek",314.7,277.2,11.9,16.2,7.9,16.5,35.8,14.1,9.6,28.3,9.2,28.9,61.9,23596,59958,55.1,7.1,106.9,0
"Hamburg",23,"Hamburg-Bergedorf – Harburg",329.5,270.6,17.9,16.2,7.9,16.5,35.8,14.1,9.6,28.3,11.3,31.5,57.2,23596,59958,55.1,7.1,106.9,0
"Niedersachsen",24,"Aurich – Emden",239.9,227.3,5.3,17,8.4,11,35.3,17.8,10.5,8.8,6.2,70.1,23.6,18428,29758,27.3,7.8,86.7,0
"Niedersachsen",25,"Unterems",314.5,285.8,9.1,18.2,8.5,12,36.2,15.7,9.4,13.4,37.7,43.4,18.9,18302,31105,22.9,5,55.5,0
