"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Mecklenburg-Vorpommern",12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",270.9,254.6,6,15.7,5.5,12.9,36.6,17.8,11.4,4.7,3.8,19.2,77,18008,25884,39.8,7.8,97.9,1
"Mecklenburg-Vorpommern",13,"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I",248.8,241.3,3,14.7,4.4,11.6,37.2,19.9,12.2,3.6,3.2,18.4,78.4,18081,20937,33.3,7.1,79.6,1
"Mecklenburg-Vorpommern",14,"Rostock – Landkreis Rostock II",271.6,261.2,3.8,14.3,6.6,16.2,33.6,17.5,11.9,5.5,3.1,11.5,85.4,16879,31845,43.1,8.9,111.9,1
"Mecklenburg-Vorpommern",15,"Vorpommern-Rügen – Vorpommern-Greifswald I",292.3,282.3,3.4,14.1,5.7,13.4,35.6,18.7,12.5,3.3,2.6,15.3,82,17287,20753,31.1,11.9,106.6,1
"Mecklenburg-Vorpommern",16,"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ",273.3,264,3.4,14.4,4.4,11.4,36.8,20,13.1,3.3,3.1,19,77.9,16955,21751,34.7,11.7,117.3,1
"Mecklenburg-Vorpommern",17,"Mecklenburgische Seenplatte II – Landkreis Rostock III",255.6,249.6,2.3,14.8,4.2,11,37.8,19.1,13,2.6,4,20,76.1,17802,22923,33.6,10.2,106.2,1
"Brandenburg",56,"Prignitz – Ostprignitz-Ruppin – Havelland I",209.5,203.8,2.7,13.9,4.5,11.2,37.5,19.7,13.1,3.2,2.5,23.6,73.9,17936,22177,32,8.9,102,1
"Brandenburg",57,"Uckermark – Barnim I",219.9,212.8,3.2,14.4,4.4,10.6,37.4,20.2,13.1,4.1,2.6,16.6,80.8,18121,21832,32,10.3,113.1,1
"Brandenburg",58,"Oberhavel – Havelland II",295.8,287.1,2.9,16.8,5,10.3,39.9,17.3,10.6,5.1,4.6,17.5,77.9,18806,23162,36,6.7,71.7,1
"Brandenburg",59,"Märkisch-Oderland – Barnim II",269.3,262.1,2.7,15.3,4.1,10.8,39.8,18.6,11.5,4.1,2.6,11.9,85.5,18742,18622,32.3,7,81.6,1
"Brandenburg",60,"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",220.3,213.2,3.2,13.9,4.4,11.9,36.6,19.7,13.5,4.6,2.5,16.1,81.4,18930,24020,38.8,7,81.3,1
"Brandenburg",61,"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",310.5,294.1,5.3,17.5,5.6,13.8,36.9,15.8,10.4,6.3,4.8,16.6,78.7,19217,30931,49.7,6,69.9,1
"Brandenburg",62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",300.9,290.2,3.6,15.2,4.8,11.3,38.6,18,12.1,4.8,3.4,18.9,77.7,19225,31015,35,5.8,68.6,1
"Brandenburg",63,"Frankfurt (Oder) – Oder-Spree",240.5,226.1,6,14.6,5.2,11.4,36.3,19.4,13,4.8,2.9,12.7,84.4,18268,25059,35.2,8.2,97.2,1
"Brandenburg",64,"Cottbus – Spree-Neiße",217.3,209.1,3.8,13.4,5,12.1,36.2,20,13.4,4.9,3.1,15.8,81,18308,33052,35.5,8.8,109,1
"Brandenburg",65,"Elbe-Elster – Oberspreewald-Lausitz II",200.9,196.8,2,13.3,3.9,10.5,37.1,20.7,14.5,2.7,3,21.4,75.6,17818,22044,29.3,9.6,102.2,1
"Sachsen-Anhalt",66,"Altmark",201.4,194.6,3.4,14.9,4.8,11.5,37.5,18.8,12.5,2.9,2.5,23.1,74.3,17755,21436,29.1,9.9,108.1,1
"Sachsen-Anhalt",67,"Börde – Jerichower Land",265.2,257.6,2.8,14.7,4.4,11.3,38.5,19.2,11.9,2.7,3.5,16.1,80.4,19054,24871,25.2,7.2,81.9,1
"Sachsen-Anhalt",68,"Harz",257.4,248.5,3.5,13.9,4.8,10.9,35.8,20.9,13.7,2.8,3.4,14.5,82,17779,21303,30.1,7.6,91.5,1
"Sachsen-Anhalt",69,"Magdeburg",292.4,276.2,5.6,13.9,7.2,15,32.5,18.6,12.9,6.4,3.6,9.1,87.2,16976,30064,36.6,10,133.8,1
"Sachsen-Anhalt",70,"Dessau – Wittenberg",211.4,204.4,3.3,13,4.3,10.7,35.5,21.6,14.9,3.2,3.4,14.7,81.9,18156,24551,30.2,9.1,105.3,1
"Sachsen-Anhalt",71,"Anhalt",268.8,260.7,3,13.4,4.6,11.1,36.5,20.8,13.6,3.3,4,12.8,83.3,17535,23861,26.4,9.2,116.2,1
"Sachsen-Anhalt",72,"Halle",270.4,253.3,6.3,14.7,7.9,15.3,32,18.4,11.7,6.4,3.7,9.2,87.1,16697,27422,37.1,9.8,146.4,1
"Sachsen-Anhalt",73,"Burgenland – Saalekreis",231.8,222.7,3.9,13.6,4.4,11.2,36.4,20.2,14.1,3,2.8,13.4,83.8,17949,23296,31.1,8.8,106.2,1
"Sachsen-Anhalt",74,"Mansfeld",246.7,239.7,2.8,13.5,4.3,10.6,36.3,21.6,13.7,2.6,3.3,11.8,84.9,17920,22978,21.3,10.2,111.4,1
"Berlin",75,"Berlin-Mitte",354.3,250,29.4,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.3,16.1,73.7,18594,34171,42.2,9.4,159.3,1
"Berlin",76,"Berlin-Pankow",314,283,9.9,15.8,7.1,17.1,35.1,15.4,9.4,24.1,6.5,13.5,80,18594,34171,42.2,9.4,159.3,1
"Berlin",77,"Berlin-Reinickendorf",252.1,216.7,14.1,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.9,28.8,60.3,18594,34171,42.2,9.4,159.3,1
"Berlin",78,"Berlin-Spandau – Charlottenburg Nord",262.4,222.2,15.3,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.3,27.6,62.1,18594,34171,42.2,9.4,159.3,1
